row_idx,kappa,curvature_bin,lid,lof,density
70,0.2659493,medium,0.3703356,1.0330603,2.4646566
71,0.24597418,low,0.16420662,1.2422305,1.5593506
72,0.2390883,low,0.38888404,1.0425233,1.3775817
73,0.22734416,low,0.26730904,1.1858218,0.40704036
74,0.23192602,low,0.22656728,1.1119956,1.8086246
75,0.3071674,medium,0.40340438,1.0072415,2.2969015
76,0.23356807,low,0.28266945,0.99124336,5.223854
77,0.2349819,low,0.24683285,1.0135368,3.009459
78,0.27699417,medium,0.36289302,1.0338993,3.5098722
79,0.25027215,low,0.21980979,1.2267934,1.7197341
80,0.2873237,medium,0.3628959,1.0901114,2.712878
81,0.19305545,low,0.32324776,1.1394196,1.1855421
82,0.32104462,high,0.15389174,1.1425194,1.1845583
83,0.25462234,low,0.16959856,1.4447615,0.9403592
84,0.30542868,medium,0.2558948,1.0395681,3.2366476
85,0.29745936,medium,0.31723747,1.1188167,1.6333923
86,0.30428046,medium,0.28507474,1.2814157,1.051418
87,0.35357833,high,0.31459677,1.051452,2.0240993
88,0.26906568,medium,0.49885657,1.2502023,1.1874796
89,0.2763337,medium,0.12918127,1.4041458,0.9756679
90,0.2995481,medium,0.20206471,1.0953927,2.7072875
91,0.15545368,low,0.18589142,1.7497928,0.47081363
92,0.28922194,medium,0.1928264,1.4696498,0.6237475
93,0.31442952,high,0.275137,1.0336713,3.003072
94,0.30544955,medium,0.23262642,1.2507914,1.2462449
95,0.24793357,low,0.18913661,1.4817691,1.0866317
96,0.37885374,high,0.22193068,1.1045414,2.6530101
97,0.24731809,low,0.3533304,1.0549085,1.5226017
98,0.28376263,medium,0.2393011,1.1286178,1.6251918
99,0.24075383,low,0.18058099,1.0491672,3.1360762
100,0.30563182,medium,0.22352989,1.1252276,2.3921037
101,0.33208793,high,0.26184413,1.0075547,3.3236623
102,0.36711293,high,0.22784553,1.164417,2.0067797
103,0.23557502,low,0.2747853,1.2161087,1.730662
104,0.33232892,high,0.27750897,1.100111,2.1816518
105,0.25054485,low,0.31423914,1.0709089,2.6865437
106,0.30191308,medium,0.37821388,0.9974041,3.1497843
107,0.30678928,medium,0.26500192,1.0078632,2.6568315
108,0.31110156,high,0.2708386,0.99483556,4.8835697
109,0.29816747,medium,0.41767406,1.0269355,4.039545
110,0.24756134,low,0.16858673,1.13503,2.08785
111,0.29491162,medium,0.27510586,1.0224675,3.438377
112,0.2992978,medium,0.35366407,1.3875622,1.471397
113,0.3214575,high,0.28093117,1.0455059,3.0971086
114,0.23294824,low,0.19364455,1.02951,2.68098
115,0.3101431,high,0.2472444,1.0839599,2.410001
116,0.21127146,low,0.24337418,1.1600482,1.7949356
117,0.30510312,medium,0.1421397,1.0097426,3.821813
118,0.18017131,low,0.21847698,1.014062,3.6642306
119,0.20117313,low,0.37494752,1.0884949,2.975314
120,0.2399494,low,0.32605278,1.132909,2.2942953
121,0.27121496,medium,0.26193818,1.3189199,0.9504151
122,0.29643637,medium,0.3274554,1.0169019,3.6818254
123,0.31139743,high,0.13302001,1.0205548,3.2661343
124,0.20935655,low,0.50491637,1.0146757,3.3770366
125,0.3218686,high,0.1372792,1.14985,2.522035
126,0.25283366,low,0.20283192,1.2196009,2.179503
127,0.3032459,medium,0.19853266,1.0645117,3.404655
128,0.21375924,low,0.34930247,1.0198609,3.4684336
129,0.21325135,low,0.218523,1.0507498,3.6740918
130,0.19737118,low,0.3127881,1.1919583,2.5965738
131,0.18124372,low,0.32499856,1.0526515,1.7225574
132,0.26868403,medium,0.21994957,1.0789524,3.0108378
133,0.19650966,low,0.23981546,1.3893653,1.9293344
134,0.18312126,low,0.20136641,1.1124917,2.0792217
135,0.30286896,medium,0.4034881,1.0894415,2.3433053
136,0.30384278,medium,0.28804922,1.0290457,3.0724905
137,0.19587731,low,0.4011301,1.0612371,2.760115
138,0.28742248,medium,0.22763227,1.067635,2.42226
139,0.29032952,medium,0.41883367,1.0188165,3.3324988
140,0.23921758,low,0.31674802,1.3762916,0.6817234
141,0.31590348,high,0.37810177,1.03877,2.5474331
142,0.22764647,low,0.20738165,1.0155448,3.4509807
143,0.277651,medium,0.28552976,0.9977343,4.8977647
144,0.31795853,high,0.3604456,1.1005402,3.3552582
145,0.24365467,low,0.5974559,1.1109672,2.669591
146,0.32629943,high,0.25548908,1.0555352,3.035707
147,0.28396332,medium,0.17635638,0.9798009,4.711848
148,0.3541118,high,0.23851135,1.0085323,4.6611986
149,0.32263702,high,0.26766214,1.0032693,5.3017826
150,0.3210473,high,0.28196433,1.0244048,4.012721
151,0.23614728,low,0.16893274,1.0909247,2.9598792
152,0.33973992,high,0.32051992,1.0069903,3.0588012
153,0.22990608,low,0.1528596,1.1386402,2.5921395
154,0.27485055,medium,0.34500444,1.0319083,2.7752414
155,0.35286665,high,0.15696298,1.124899,1.4794387
156,0.3061146,medium,0.1939629,1.019221,3.0205584
157,0.29366177,medium,0.17279175,1.0560123,2.5513237
158,0.17423385,low,0.5313058,1.011586,3.2254164
159,0.20892167,low,0.24000268,1.0469635,2.8760843
160,0.28252995,medium,0.22967716,1.102476,1.9458675
161,0.24219435,low,0.25243416,0.9877601,5.032921
162,0.3534305,high,0.40522042,0.99287224,4.301227
163,0.3571368,high,0.26251265,1.0054587,3.4187615
164,0.33347917,high,0.27645203,1.045501,3.2401984
165,0.36586362,high,0.24946128,1.1484123,2.3841097
166,0.37003785,high,0.21167074,1.0465586,2.5983918
167,0.26678908,medium,0.31654316,1.1562088,1.8449845
168,0.29626787,medium,0.2654597,1.0100936,3.8054361
169,0.2547921,low,0.18089586,1.1480405,2.509139
170,0.297822,medium,0.3083507,1.1361033,2.006184
171,0.32063144,high,0.24273236,1.0755514,2.8269844
172,0.24004358,low,0.26046857,1.1481872,2.6868591
173,0.29030758,medium,0.12095475,1.1110985,2.5970392
174,0.25435323,low,0.6124156,1.0821403,2.894441
175,0.3144527,high,0.25768802,1.0211933,4.0102077
176,0.25251073,low,0.23573782,0.9916429,3.2027314
177,0.30714184,medium,0.1974778,1.0116485,3.8562512
178,0.35238266,high,0.22324772,1.0436866,2.8144414
179,0.31582874,high,0.15394872,1.0517088,3.7571738
180,0.4043017,high,0.24323913,1.0217212,4.093712
181,0.22806424,low,0.1191816,1.09787,2.040849
182,0.29670978,medium,0.33320004,1.0718572,3.3307643
183,0.2502268,low,0.20642886,1.0227158,3.2106836
184,0.21203065,low,0.29234084,1.1488541,3.0546076
185,0.28540206,medium,0.25834993,1.0456122,3.2374604
186,0.24504107,low,0.18784603,1.0149381,3.196168
187,0.31094128,high,0.31326133,0.99491805,4.056148
188,0.31764734,high,0.3488742,1.0229819,3.429172
189,0.2412743,low,0.39733326,1.2187629,1.4162111
190,0.24441129,low,0.2431513,1.0714881,2.5461795
191,0.29529423,medium,0.23880337,0.9921445,4.634115
192,0.28796393,medium,0.34686902,1.1640198,0.89487857
193,0.35861343,high,0.19371799,1.0621839,1.8070859
194,0.30622995,medium,0.20045425,1.0907265,2.8140514
195,0.25743848,low,0.2951985,1.060912,2.4514358
196,0.30813485,medium,0.217706,1.1234856,1.425237
197,0.284073,medium,0.25522858,1.0126792,2.8937306
198,0.16864061,low,0.5088868,1.1079173,2.2814837
199,0.238419,low,0.23441774,1.1329188,1.7325729
200,0.35275066,high,0.1934288,1.067262,2.3752217
201,0.21177155,low,0.31290114,1.1108273,2.7390451
202,0.21696293,low,0.24124601,1.0846672,2.8792636
203,0.27980685,medium,0.23627013,1.0908923,2.516335
204,0.2910211,medium,0.3105723,1.1045104,2.6141114
205,0.15569115,low,0.23636837,1.0057775,3.370752
206,0.20345092,low,0.20701797,1.1446434,2.3397894
207,0.3134629,high,0.2951187,1.0006123,4.1760387
208,0.31824332,high,0.3785639,1.1481384,2.4544575
209,0.33754689,high,0.23895535,1.0475491,2.7502563
210,0.2689852,medium,0.22259615,1.0195736,3.11099
211,0.3106146,high,0.3905056,1.0321693,4.625908
212,0.26250553,low,0.26154062,1.0934875,2.420528
213,0.30413365,medium,0.18093748,1.0028006,4.595632
214,0.23305625,low,0.22435632,0.995226,5.1302676
215,0.3625666,high,0.32937407,1.0101843,4.5979357
216,0.2452305,low,0.40563843,0.9777464,5.7590184
217,0.25534475,low,0.38095593,1.0366266,4.202437
218,0.40713435,high,0.26588547,1.0078293,4.5583982
219,0.27189058,medium,0.25370172,0.99853057,4.819795
220,0.27508104,medium,0.26994547,0.9836236,4.900136
221,0.25507814,low,0.23073615,0.9977703,4.8617587
222,0.31543285,high,0.24564229,0.9864496,4.1341143
223,0.30190766,medium,0.28533462,1.020122,3.602267
224,0.29607433,medium,0.3493337,1.0078399,5.0044193
225,0.316846,high,0.43060672,1.006885,4.5885773
226,0.14275861,low,0.21861275,1.1290653,2.5416746
227,0.2964474,medium,0.19411056,1.0356275,2.677263
228,0.32044226,high,0.27137813,1.0114083,4.058683
229,0.3026055,medium,0.2901353,1.002657,3.1394813
230,0.32198685,high,0.25755924,1.0569216,3.7401574
231,0.24441034,low,0.34567702,1.0059177,5.073657
232,0.32085156,high,0.33684024,0.9873807,3.6094291
233,0.3293463,high,0.46471602,1.0116109,4.9645457
234,0.2937885,medium,0.16735047,1.0054313,4.1020775
235,0.25441194,low,0.20900908,1.017635,3.111842
236,0.35087174,high,0.27798766,1.094351,2.3579824
237,0.290927,medium,0.29686773,1.1588384,2.0237646
238,0.24415922,low,0.4097758,0.9982003,4.436011
239,0.26984674,medium,0.39773783,0.99936837,4.9917755
240,0.28639156,medium,0.38492048,1.2590681,1.8510119
241,0.33671814,high,0.34085035,1.0416993,3.0067933
242,0.30297518,medium,0.43713793,1.1164986,2.4305546
243,0.2947752,medium,0.45766002,1.0461289,3.1994398
244,0.34535784,high,0.27891532,1.0204847,3.304638
245,0.391644,high,0.1195198,1.0885315,2.7758844
246,0.3260888,high,0.3026317,1.0551188,2.9146633
247,0.20897108,low,0.31191546,1.1391642,1.4664309
248,0.31552774,high,0.14840333,1.0703337,3.1390605
249,0.28642064,medium,0.28185883,1.0992656,3.119155
250,0.24288446,low,0.21036412,0.99038047,3.000403
251,0.21596807,low,0.34064764,1.0571963,3.5834606
252,0.35348046,high,0.14824417,1.1189866,1.5667626
253,0.28549796,medium,0.309018,1.1284688,2.2254465
254,0.28335422,medium,0.28020433,0.97860473,5.167324
255,0.31453967,high,0.34976563,1.0443207,3.6219978
256,0.22577119,low,0.21491946,1.084267,2.3572042
257,0.28042394,medium,0.16401298,1.112315,2.3191977
258,0.26412517,low,0.24866699,0.9878835,5.212263
259,0.37634337,high,0.31583095,1.0403236,2.530132
260,0.31766903,high,0.6255617,1.003369,5.065395
261,0.29274327,medium,0.29014242,1.015075,5.1432204
262,0.3227399,high,0.14455625,1.0111479,4.416666
263,0.3152002,high,0.26813868,1.0024914,4.8135715
264,0.18145698,low,0.34990716,1.0281824,4.66081
265,0.3483485,high,0.22705382,1.0354773,2.7768629
266,0.28853047,medium,0.31086934,0.97704977,5.659142
267,0.31081766,high,0.32913613,1.0038544,5.064605
268,0.3444211,high,0.22174554,0.9996132,4.094902
269,0.32090515,high,0.35239783,0.9975062,4.93986
270,0.20651716,low,0.28476524,1.7992584,0.32492408
271,0.27130562,medium,0.15634409,1.0159597,3.166984
272,0.23067164,low,0.4164397,1.0158956,3.328628
273,0.31247008,high,0.278863,1.0281051,4.709612
274,0.343112,high,0.40983993,1.2336074,1.400667
275,0.3440467,high,0.16700807,1.0405076,2.3543081
276,0.2903539,medium,0.3436624,1.007724,3.4841132
277,0.3440349,high,0.34964964,1.0329084,3.043472
278,0.38840353,high,0.507954,1.0047222,3.7200365
279,0.29232538,medium,0.17648715,1.0189399,3.6102207
280,0.27209783,medium,0.31298885,1.1179861,2.3726592
281,0.3629338,high,0.33388904,0.975261,4.2446737
282,0.24569166,low,0.19241425,1.0078795,3.2667606
283,0.32287848,high,0.21997419,1.0938915,2.3807564
284,0.24455744,low,0.25398913,0.98801124,4.3106413
285,0.19082326,low,0.4138712,1.0047994,5.2976403
286,0.33149105,high,0.24516688,1.0285395,4.349267
287,0.30118567,medium,0.37113136,1.0078415,3.4703248
288,0.37407953,high,0.35629478,1.0412542,3.1468656
289,0.30850214,medium,0.21222414,1.1267194,2.0292583
290,0.25541627,low,0.537228,1.0657166,3.5586557
291,0.30063188,medium,0.32367033,0.9916209,3.3529131
292,0.22697133,low,0.35337585,0.9853484,5.4226046
293,0.22942835,low,0.36542365,0.9744516,4.895456
294,0.35377705,high,0.23156506,1.0010111,4.974239
295,0.2870754,medium,0.49920946,1.0134845,3.455715
296,0.30159783,medium,0.29848778,1.018502,4.2802906
297,0.31199157,high,0.3160776,0.996318,4.6736255
298,0.3242107,high,0.2547859,1.0237561,3.9001777
299,0.24013013,low,0.24685098,1.0200658,4.055087
300,0.24327803,low,0.39895865,1.0848347,3.284534
301,0.31638145,high,0.27292022,1.0198913,2.8684046
302,0.23922807,low,0.29259157,1.0267892,4.123671
303,0.30699986,medium,0.4192847,1.0068258,1.5264112
304,0.23946041,low,0.2769455,1.0527319,3.2713559
305,0.34111816,high,0.25667164,1.054138,3.72912
306,0.2473787,low,0.20613182,1.1144278,3.1172192
307,0.21669203,low,0.19097698,1.0222018,3.9918048
308,0.2847823,medium,0.3442672,1.0012282,5.08875
309,0.28091294,medium,0.17149864,0.99536157,3.8432162
310,0.25316322,low,0.42207953,1.0040818,4.5590315
311,0.22099334,low,0.3810626,1.043716,2.4787867
312,0.2460351,low,0.32060796,1.0186349,3.8695614
313,0.33927202,high,0.13890415,1.0222878,3.60074
314,0.21793187,low,0.5088385,1.0404409,1.6555628
315,0.35962838,high,0.22151534,1.0829169,2.7719064
316,0.2898572,medium,0.21164672,1.065738,2.136121
317,0.2259593,low,0.30598637,1.0171506,3.7141113
318,0.3180399,high,0.38825727,1.0638525,3.2424183
319,0.30560416,medium,0.38207042,1.001066,4.96388
320,0.31041473,high,0.4920472,1.1415077,2.144593
321,0.14920163,low,0.26099542,1.0452864,3.5203488
322,0.27242827,medium,0.34241882,1.083232,1.4763178
323,0.31852245,high,0.23061515,1.1563447,1.4374597
324,0.2651481,medium,0.26556614,1.0335442,3.3352337
325,0.3640129,high,0.5595212,1.0236177,3.0679936
326,0.31983137,high,0.45004615,1.0235324,4.016214
327,0.3113923,high,0.35665166,1.0290521,3.1839879
328,0.21666032,low,0.21457767,1.0108294,4.1946993
329,0.29049265,medium,0.21063109,1.1814171,1.4653044
330,0.241122,low,0.27777255,1.0868179,3.2374132
331,0.32489926,high,0.18203452,1.0249065,4.073354
332,0.3374874,high,0.2287809,1.1091033,1.7899183
333,0.37006742,high,0.59103054,0.99949235,3.5457375
334,0.34971213,high,0.15177518,1.0431068,3.8410032
335,0.25807196,low,0.33759943,1.0247546,2.2542083
336,0.19852763,low,0.1811053,1.0713577,3.3864717
337,0.33218324,high,0.17258215,1.079894,2.450786
338,0.24747568,low,0.33940318,1.0098108,3.4839094
339,0.29934472,medium,0.3243807,1.0326183,1.8290333
340,0.270872,medium,0.3604819,1.0847481,2.4657497
341,0.3696105,high,0.22742654,1.1530252,2.4199502
342,0.28077924,medium,0.5804539,1.0046436,3.9168708
343,0.25990313,low,0.40047726,1.0467588,0.9736455
344,0.21904123,low,0.38535392,1.0274479,3.1396873
345,0.3274179,high,0.15231833,1.0573219,1.4100885
346,0.23470062,low,0.18858287,1.0075223,4.4341283
347,0.28975695,medium,0.26195988,1.038041,4.4508257
348,0.32043427,high,0.24861215,1.0523067,2.6572201
349,0.23783803,low,0.3195295,1.0330024,3.5310135
350,0.3052265,medium,0.359507,1.0631804,3.357757
351,0.2284081,low,0.2785764,0.99303156,4.937123
352,0.23911703,low,0.28925523,1.0895668,1.6779367
353,0.3188228,high,0.13657342,1.0707141,2.5185657
354,0.29147357,medium,0.20343657,0.9953889,4.1575017
355,0.33619988,high,0.27306068,0.9979521,5.0373006
356,0.34223825,high,0.3474289,1.0233848,4.628898
357,0.39959604,high,0.31969833,1.0056981,3.5483963
358,0.37633437,high,0.2748659,1.0005612,4.269879
359,0.30917072,medium,0.28607276,1.0549147,2.6637855
360,0.3485415,high,0.1362449,1.3063914,1.9455781
361,0.2437948,low,0.13104145,1.2317731,1.1695541
362,0.29355705,medium,0.15198295,1.1903915,1.6709026
363,0.3258809,high,0.33784303,1.1537844,2.0325408
364,0.3713047,high,0.24649182,1.0086414,3.4203572
365,0.28424233,medium,0.33685943,1.0166571,1.578965
366,0.27697647,medium,0.34323218,1.2124401,1.6091813
367,0.2838182,medium,0.17438625,1.0652735,3.5512772
368,0.2676515,medium,0.33738035,1.0334799,2.7775161
369,0.27596837,medium,0.43375838,1.0303171,4.6410475
370,0.22654301,low,0.14267105,1.039312,2.7029035
371,0.24392426,low,0.3653852,1.0017073,3.5296335
372,0.2778116,medium,0.36335653,1.0221181,3.57858
373,0.27282786,medium,0.3257576,1.0676824,2.3977077
374,0.24869025,low,0.20430891,1.0434304,4.0361423
375,0.31213367,high,0.37238064,1.025537,3.97
376,0.38835013,high,0.20787063,1.0080781,3.4279768
377,0.3182044,high,0.30283502,1.0268476,3.2092578
378,0.33911204,high,0.41512725,0.98247594,4.33008
379,0.248061,low,0.15116212,1.0191534,3.6692863
380,0.3024367,medium,0.22632754,1.0492661,4.536059
381,0.34523338,high,0.21264876,1.0424988,2.202595
382,0.26751477,medium,0.4014072,1.064899,2.6536531
383,0.3163283,high,0.33874795,1.0353507,1.7603534
384,0.34144372,high,0.42631632,1.0389131,2.9993076
385,0.25923717,low,0.21727963,0.9885891,4.126423
386,0.19651306,low,0.16723946,1.1793962,2.0044606
387,0.21967095,low,0.4811339,0.9925336,3.9027624
388,0.22100961,low,0.18455948,1.0078075,4.7702885
389,0.30748487,medium,0.23419525,1.0095518,3.7744412
390,0.29048282,medium,0.30405682,1.002134,4.1026735
391,0.22603816,low,0.29720408,1.0147959,3.2239435
392,0.36597472,high,0.16502109,1.009153,2.9518569
393,0.19387192,low,0.3544016,1.0286287,3.5625796
394,0.26177734,low,0.20728977,1.1169932,2.7303607
395,0.36597687,high,0.17044123,1.1597255,2.2464318
396,0.31246865,high,0.14854625,0.9858123,4.48836
397,0.2621627,low,0.3748326,1.0574456,2.5516186
398,0.35748,high,0.24653132,1.09436,1.7812046
399,0.3433473,high,0.15161897,0.9933032,4.6633754
400,0.32475662,high,0.43830457,0.9858478,4.4987454
401,0.280487,medium,0.31353232,1.0071522,4.262737
402,0.27421528,medium,0.44200462,1.0330187,3.458616
403,0.2217496,low,0.4002423,1.0390939,2.9644308
404,0.2991084,medium,0.23107047,1.0800529,2.5466127
405,0.3519767,high,0.18676563,1.0396193,2.8072498
406,0.26180923,low,0.23315394,1.0523902,2.5629334
407,0.2891544,medium,0.32641336,1.0645388,2.6072538
408,0.2890342,medium,0.35200444,0.993257,3.3868322
409,0.36392742,high,0.36838698,1.0102118,2.328809
410,0.31995082,high,0.18707699,0.997153,4.073479
411,0.17956555,low,0.26053306,1.226853,2.0725355
412,0.25076944,low,0.6743292,1.0940427,3.2107823
413,0.37082732,high,0.27524212,1.0629073,2.9320996
414,0.2548079,low,0.36549667,0.99820894,4.3558335
415,0.26181227,low,0.1206103,0.98268104,3.3498602
416,0.36951822,high,0.2535819,1.0678008,3.2522254
417,0.3099628,high,0.37608632,1.1261939,2.3027613
418,0.26242614,low,0.28019106,1.3087077,1.4363774
419,0.3227631,high,0.34996635,1.0989498,2.745334
420,0.30444568,medium,0.17673625,1.029268,3.3819132
421,0.21975493,low,0.10969382,1.207449,2.189411
422,0.2642718,low,0.22610229,1.0369748,3.4522424
423,0.34722435,high,0.24031027,1.037677,3.2104657
424,0.3397504,high,0.2281952,1.1040193,2.5682256
425,0.30635643,medium,0.31758147,1.0396222,3.8568225
426,0.3518623,high,0.42663768,1.0139374,3.0715802
427,0.2616009,low,0.28065643,1.020321,3.4810352
428,0.31385016,high,0.3106104,1.0157486,4.761365
429,0.36924106,high,0.3569833,1.0306436,3.1417117
430,0.3358354,high,0.11883602,1.0462453,2.7937102
431,0.31786722,high,0.31852108,1.0597967,3.2177083
432,0.32014775,high,0.30352655,0.98863643,5.2239
433,0.25520623,low,0.1569596,1.0145823,4.6291256
434,0.28027767,medium,0.26172245,1.0079783,4.3824906
435,0.32133943,high,0.23281363,1.2968106,1.4172361
436,0.27599442,medium,0.34551543,1.1345809,1.563111
437,0.30093002,medium,0.37754905,1.0599011,2.1014867
438,0.29668546,medium,0.35669258,1.0365129,2.2092898
439,0.35998905,high,0.3029001,1.1085838,1.5327044
440,0.2870888,medium,0.46521842,0.99132156,4.859943
441,0.33941674,high,0.2684312,1.009096,4.66273
442,0.3016861,medium,0.51537776,1.0337616,2.7128432
443,0.3336593,high,0.16771902,1.0429616,2.0477695
444,0.3376791,high,0.33110142,1.0421003,3.4567018
445,0.30000657,medium,0.17735663,1.0313994,3.3769426
446,0.30893838,medium,0.23418404,1.1028663,2.0596676
447,0.31632346,high,0.2388961,1.0158299,3.7909884
448,0.29999375,medium,0.28809127,1.0109574,4.034093
449,0.2556703,low,0.4278011,0.9788613,4.0798354
450,0.23794907,low,0.3686596,0.995528,2.70963
451,0.26168227,low,0.2760899,1.0227591,3.1822264
452,0.24584544,low,0.30896097,0.99188834,3.8429112
453,0.2923107,medium,0.28918636,1.0174882,2.7996974
454,0.30829698,medium,0.2867057,1.0308176,4.2519784
455,0.27234042,medium,0.23287225,1.1843507,2.1053758
456,0.29503024,medium,0.30745897,1.1378621,1.5200963
457,0.34874505,high,0.34661016,1.0020039,3.4510312
458,0.24693692,low,0.20820594,1.2932628,1.5237155
459,0.23558646,low,0.18208432,1.4049176,1.0772822
460,0.27287948,medium,0.16431504,1.4490604,0.62158215
461,0.29580992,medium,0.21676031,1.0865307,1.7668368
462,0.31982923,high,0.3353132,1.1516479,1.9282924
463,0.36466938,high,0.34625742,1.0066823,3.5860302
464,0.28070968,medium,0.30891502,0.99050117,4.9432516
465,0.27805656,medium,0.20934176,1.0380439,2.551579
466,0.32203442,high,0.35018462,1.0002767,5.31569
467,0.3102668,high,0.42414472,1.0869229,2.777544
468,0.23309827,low,0.16870877,1.0840784,3.1011336
469,0.21465057,low,0.33038288,1.0300351,3.4631789
470,0.3140872,high,0.31804448,1.0225312,3.475245
471,0.29259676,medium,0.24869017,1.0172591,4.1496067
472,0.31179518,high,0.5015649,0.9948267,5.047785
473,0.30747974,medium,0.38551387,1.0306299,4.2252946
474,0.2804637,medium,0.39032564,1.0305065,3.8581057
475,0.18965238,low,0.19172338,0.98039997,4.589661
476,0.29624426,medium,0.3769754,0.9948512,4.3121867
477,0.31385517,high,0.33532658,1.0029042,4.436633
478,0.23817939,low,0.6428429,0.9964786,3.343992
479,0.3162409,high,0.4542349,0.98788327,5.222589
480,0.3607039,high,0.16421537,1.1246876,2.5942955
481,0.34342808,high,0.3890072,1.1402179,1.8850129
482,0.2560435,low,0.20667364,1.023733,2.7812126
483,0.258412,low,0.2542582,1.0404819,3.8196259
484,0.3252712,high,0.17555441,0.9983365,3.6635852
485,0.18172872,low,0.21963486,1.2506577,1.4855477
486,0.32513052,high,0.2701664,0.9956241,4.3450384
487,0.23470145,low,0.29648522,1.0127817,4.5801873
488,0.32750845,high,0.19449088,1.0347395,4.0744123
489,0.34814584,high,0.3130968,1.0685581,3.9467967
490,0.28111297,medium,0.32119036,1.1024816,2.298483
491,0.31199265,high,0.21663918,1.0176824,3.5992932
492,0.33949953,high,0.33574283,1.1625383,2.229832
493,0.28814209,medium,0.31520408,1.0817086,2.1487052
494,0.25412786,low,0.15145782,1.0428935,2.642296
495,0.34274143,high,0.33471033,1.1506467,2.6098287
496,0.29503644,medium,0.38655475,0.98344404,5.1388745
497,0.30009145,medium,0.28067142,1.0101209,3.9696908
498,0.31794316,high,0.14647754,1.0042955,2.476264
499,0.2990725,medium,0.3807449,1.0868224,2.3908236
