row_idx,kappa,curvature_bin,lid,lof,density,label
81,0.5075964,medium,0.14687516,0.98105687,0.13633142,6
82,0.5279707,medium,0.15759063,1.0245274,0.07712819,0
83,0.5908113,high,0.13307264,1.0787996,0.08495345,2
84,0.48064077,medium,0.16796789,1.0056634,0.10039811,0
85,0.49780023,medium,0.12749149,1.1500067,0.101238385,2
86,0.45122153,low,0.19807895,1.0832454,0.0679341,5
87,0.54213977,high,0.13071698,1.1022015,0.07044698,8
88,0.5189376,medium,0.15303577,1.0810174,0.085781544,4
89,0.48900366,medium,0.16889216,1.0408673,0.3528023,1
90,0.5107219,medium,0.13471739,1.0234243,0.14844227,9
91,0.52039254,medium,0.10465668,1.0844014,0.09192935,5
92,0.50724554,medium,0.046895426,1.119906,0.0937367,7
93,0.46636647,low,0.10824613,1.317187,0.13711652,4
94,0.5230931,medium,0.09480209,0.9977185,0.11706089,5
95,0.5660636,high,0.098735936,1.032327,0.13955487,9
96,0.4957016,medium,0.10994895,1.0843998,0.12141564,4
97,0.57587683,high,0.06652994,1.0729077,0.10227789,3
98,0.5416622,high,0.12591988,1.0033778,0.12557141,5
99,0.36855078,low,0.15671368,1.0923145,0.073913276,6
100,0.4565274,low,0.10232149,1.2607719,0.08421964,7
101,0.5055399,medium,0.1466077,1.2193536,0.06618633,3
102,0.45637083,low,0.09103346,1.2998252,0.09301431,5
103,0.532791,high,0.090753436,1.0528768,0.085583165,2
104,0.367312,low,0.16213524,0.97676986,0.44958228,1
105,0.55137897,high,0.2731003,1.0119449,0.11985366,9
106,0.37784427,low,0.050971266,1.7983778,0.1793492,1
107,0.57414305,high,0.0706791,0.99422157,0.13197953,8
108,0.48759937,medium,0.15841416,1.0946565,0.12401885,3
109,0.51907706,medium,0.03250334,1.0795294,0.07749746,7
110,0.39695644,low,0.19535162,1.0128585,0.23025315,1
111,0.40067858,low,0.16688782,1.2174312,0.06915255,7
112,0.6149639,high,0.20953615,1.0664619,0.0977914,5
113,0.4641769,low,0.15250346,1.1651717,0.063685335,0
114,0.51050246,medium,0.19273698,1.0736225,0.08696274,6
115,0.57967556,high,0.10460618,1.1686764,0.059470475,2
116,0.44894958,low,0.20282826,1.0784991,0.08320854,6
117,0.3570091,low,0.32968426,1.105953,0.24011005,1
118,0.53396463,high,0.07140368,1.1768738,0.113288976,2
119,0.55574715,high,0.09944542,0.98884654,0.10372291,5
120,0.45851183,low,0.13012089,1.0531561,0.10386057,5
121,0.3494171,low,0.17336562,1.0582105,0.26575089,1
122,0.55318046,high,0.12159877,0.98406404,0.0859432,0
123,0.5653894,high,0.12645926,1.0002879,0.13464162,8
124,0.4620958,low,0.22045425,1.1133415,0.0828448,2
125,0.5743531,high,0.06400489,1.1774098,0.07472957,2
126,0.52697164,medium,0.10716568,1.0892998,0.07640876,5
127,0.44426918,low,0.268822,1.0416608,0.30680883,1
128,0.4684686,low,0.19763286,1.0634987,0.30190113,1
129,0.5356661,high,0.15186903,1.0024734,0.14037344,7
130,0.3614055,low,0.18358085,1.2268717,0.06461529,6
131,0.55581224,high,0.16741101,1.0667884,0.08062628,3
132,0.40635854,low,0.27508616,1.0687392,0.34299752,1
133,0.4998548,medium,0.080803245,1.0838757,0.11084279,7
134,0.44933134,low,0.09253416,1.0213488,0.10248418,6
135,0.56748664,high,0.151459,0.9936643,0.124096654,6
136,0.46721113,low,0.06661537,1.0676914,0.069936275,7
137,0.51959527,medium,0.08971843,1.105076,0.0931717,8
138,0.39546525,low,0.17051023,1.2591922,0.17356288,1
139,0.33117938,low,0.19098555,1.1907735,0.06727519,7
140,0.31372416,low,0.15775484,1.0584067,0.23787922,1
141,0.56790733,high,0.14770658,1.0955555,0.057995066,2
142,0.44860595,low,0.09800463,1.0420166,0.11116751,3
143,0.5640321,high,0.117332906,1.053219,0.11857124,8
144,0.48773396,medium,0.13327001,1.1061577,0.06052683,0
145,0.49859118,medium,0.25585628,0.9882037,0.14384001,9
146,0.5853028,high,0.06897434,1.2039223,0.09209178,5
147,0.49867845,medium,0.1499723,1.1102465,0.09024613,7
148,0.44149685,low,0.04360116,1.0728505,0.07128077,5
149,0.5777483,high,0.089478396,0.9916087,0.12080072,5
150,0.49710792,medium,0.14785454,1.0182558,0.11353341,0
151,0.43162966,low,0.18392073,1.0141902,0.37725934,1
152,0.5013826,medium,0.085914426,1.1278231,0.10195695,7
153,0.3978414,low,0.166863,1.086801,0.28373468,1
154,0.50001436,medium,0.14485154,1.0466897,0.073732354,0
155,0.509096,medium,0.12618892,1.056577,0.12137918,4
156,0.40895307,low,0.22882973,0.98117805,0.42733684,1
157,0.50872946,medium,0.15959232,1.1267707,0.09287862,6
158,0.5490533,high,0.12618414,1.085171,0.107893996,3
159,0.5807275,high,0.08786368,1.0960029,0.085694455,2
160,0.51167226,medium,0.2417128,1.0031648,0.11891616,0
161,0.5463687,high,0.13424024,1.062164,0.092777885,6
162,0.5140118,medium,0.14299124,0.9903032,0.10026384,2
163,0.5075811,medium,0.16843621,1.1611454,0.081214465,3
164,0.57712626,high,0.12711604,1.1203405,0.089095876,1
165,0.5573484,high,0.18727814,0.99869937,0.16816206,7
166,0.5403739,high,0.13214251,1.041261,0.07902569,0
167,0.5804366,high,0.09215714,1.0612024,0.104251035,3
168,0.47571218,low,0.110819705,1.0660127,0.09995239,4
169,0.4693296,low,0.17885564,1.0655829,0.122220635,6
170,0.4595719,low,0.10429115,1.3317398,0.045331422,4
171,0.5022492,medium,0.07429897,1.0182303,0.14331974,9
172,0.46783614,low,0.20075595,1.0011487,0.4115607,1
173,0.49698395,medium,0.15443501,1.0596427,0.35034856,1
174,0.483885,medium,0.06790512,1.0998398,0.07174928,0
175,0.49119347,medium,0.12028863,1.1193388,0.09276497,3
176,0.56264234,high,0.20486778,1.0655886,0.097624816,6
177,0.40258813,low,0.21450464,1.0686041,0.2979147,1
178,0.4694121,low,0.084276095,1.111235,0.08429128,4
179,0.47301835,low,0.11961149,1.0506638,0.070600845,3
180,0.5313064,medium,0.18678147,1.239927,0.07108552,5
181,0.49738753,medium,0.125529,1.0986699,0.11554714,4
182,0.292347,low,0.24124388,1.1157417,0.048517074,7
183,0.49977624,medium,0.0690609,1.257737,0.091663264,8
184,0.49109358,medium,0.0669836,1.2915528,0.0935272,7
185,0.48967898,medium,0.15178731,1.2730688,0.07409475,7
186,0.45603538,low,0.20795417,0.9995663,0.15068847,9
187,0.5765176,high,0.14199933,1.0885856,0.10492204,9
188,0.5225669,medium,0.11700938,1.0114435,0.11093309,5
189,0.5569223,high,0.14159048,1.0374827,0.106839545,3
190,0.47694808,low,0.15397547,1.1589131,0.08525872,7
191,0.3698374,low,0.17167887,1.0089802,0.38254547,1
192,0.45759147,low,0.23733112,0.97570604,0.52449733,1
193,0.5673373,high,0.1155948,1.0037261,0.11912925,0
194,0.4860674,medium,0.11466103,1.2587076,0.06649625,5
195,0.42797172,low,0.057151888,1.6682724,0.12929605,8
196,0.49587774,medium,0.11750028,1.0532509,0.12450921,4
197,0.45974982,low,0.29263735,1.0036148,0.33582467,1
198,0.41805017,low,0.16395028,1.0329798,0.13059935,6
199,0.5184682,medium,0.12751964,1.0734423,0.10183167,5
200,0.4099295,low,0.15235719,0.99706256,0.32518762,1
201,0.49567717,medium,0.18431962,1.1124687,0.053114276,3
202,0.5708492,high,0.061159983,1.2771208,0.073492564,8
203,0.5559567,high,0.12961513,1.1424041,0.073338546,7
204,0.524429,medium,0.17432603,1.1241637,0.07468844,0
205,0.3056618,low,0.26049456,1.7217717,0.03801091,6
206,0.4678154,low,0.12866986,1.0421666,0.0988864,6
207,0.49408752,medium,0.05745221,1.0630336,0.07683561,9
208,0.5538523,high,0.051934253,1.2775085,0.056565363,5
209,0.4972794,medium,0.1039873,1.0077431,0.12452141,0
210,0.5262009,medium,0.13643502,1.1265379,0.06356142,0
211,0.51412416,medium,0.15946537,1.0287094,0.1116005,0
212,0.52813375,medium,0.26205236,1.1636243,0.079632476,3
213,0.473579,low,0.1978875,1.0619282,0.1275949,9
214,0.5345262,high,0.10025721,1.0556855,0.1032305,5
215,0.4690771,low,0.08960968,1.1479487,0.05687286,3
216,0.43945706,low,0.21925573,1.0876492,0.0641257,3
217,0.39798892,low,0.32848597,1.052329,0.38264224,1
218,0.38371575,low,0.15934673,1.0014836,0.38836846,1
219,0.48278993,medium,0.19146012,0.9951037,0.1359982,6
220,0.5166563,medium,0.057242807,1.0744381,0.112904675,9
221,0.5086806,medium,0.10899283,1.0134073,0.09843502,2
222,0.4575445,low,0.25250667,1.0554345,0.35113582,1
223,0.5673354,high,0.12567225,1.0405103,0.068777785,2
224,0.4956913,medium,0.115848996,1.072708,0.076224476,8
225,0.4897995,medium,0.09507066,0.99884427,0.14479636,9
226,0.6183885,high,0.08515837,1.058968,0.12507975,8
227,0.37793928,low,0.22668636,1.0210284,0.3936392,1
228,0.44193864,low,0.23908876,1.0367795,0.123651326,7
229,0.58606267,high,0.14561613,1.0249151,0.11108295,3
230,0.5289179,medium,0.11086179,1.1122458,0.104198575,3
231,0.42319643,low,0.06457308,1.0736376,0.31542382,1
232,0.57834363,high,0.1362748,1.1112084,0.09855956,8
233,0.51644015,medium,0.2350225,1.0619112,0.109728016,4
234,0.48633367,medium,0.10833111,1.0273849,0.10446032,5
235,0.54873013,high,0.057321407,1.0803615,0.13503033,9
236,0.5149275,medium,0.13884826,0.9797495,0.13558073,0
237,0.507167,medium,0.17125219,1.0748274,0.09361176,0
238,0.52561605,medium,0.118149824,1.0100191,0.0742673,2
239,0.5527952,high,0.22373545,1.0060295,0.10379181,2
240,0.49914354,medium,0.09182881,0.9848597,0.1620656,9
241,0.54654294,high,0.11066664,1.0799043,0.12047461,4
242,0.35849643,low,0.072956465,1.7933027,0.1271799,2
243,0.45739985,low,0.307572,1.0308578,0.13339517,4
244,0.5138212,medium,0.09422853,1.1093088,0.07556437,3
245,0.52553254,medium,0.16681997,1.0024523,0.13207427,6
246,0.33118498,low,0.118118465,1.3936298,0.20452867,1
247,0.47118533,low,0.11729756,1.0882277,0.09635916,3
248,0.5963336,high,0.14689282,0.9808998,0.12927103,5
249,0.5154594,medium,0.1236938,1.0055274,0.10760023,2
250,0.48575395,medium,0.25396588,0.9995765,0.13847259,6
251,0.54085267,high,0.10812815,1.0482898,0.09704851,3
252,0.57312524,high,0.10685338,1.0226094,0.101167955,2
253,0.54014033,high,0.14374532,1.0678275,0.081174284,6
254,0.48138952,medium,0.09804092,1.2279952,0.11483632,1
255,0.5508038,high,0.12064858,1.1099544,0.08257443,5
256,0.51870334,medium,0.12124689,1.0350976,0.12160347,4
257,0.5552985,high,0.0660665,1.1162807,0.0580114,8
258,0.476313,low,0.11835205,0.9892284,0.435184,1
259,0.546844,high,0.26799265,1.0276114,0.08491901,0
260,0.48226446,medium,0.11368347,0.98844355,0.14136884,3
261,0.3477186,low,0.11786328,1.1902815,0.31382966,1
262,0.53606963,high,0.30333042,1.0137233,0.11393163,7
263,0.4426393,low,0.11487294,1.1395471,0.06411533,6
264,0.60535526,high,0.10838804,1.1607282,0.08452952,8
265,0.5020225,medium,0.15056272,1.1651376,0.06707963,6
266,0.41155905,low,0.194276,1.0264308,0.08432326,0
267,0.60381997,high,0.14586087,1.0588485,0.09679265,5
268,0.5832672,high,0.10494175,1.0621605,0.08284272,8
269,0.5306933,medium,0.10868811,1.0782887,0.11645797,9
270,0.54448867,high,0.050168667,1.3737679,0.07650242,7
271,0.5007415,medium,0.16952287,1.2293622,0.1108123,5
272,0.38292217,low,0.05856971,1.5786254,0.19147801,1
273,0.48902154,medium,0.08410347,1.1482577,0.09077873,2
274,0.5787843,high,0.08067401,1.0678002,0.10723483,3
275,0.53865504,high,0.082342185,1.0206658,0.105370924,0
276,0.4515344,low,0.11112014,1.1202486,0.11109726,9
277,0.4865955,medium,0.10320797,1.215599,0.06025774,2
278,0.54094195,high,0.105398625,1.0852107,0.09583313,8
279,0.54831016,high,0.07425524,1.0464848,0.11426446,7
280,0.4913664,medium,0.14692236,1.0678998,0.04851188,6
281,0.50081503,medium,0.17815407,1.0293695,0.11611467,6
282,0.43108624,low,0.15156855,1.0117323,0.11632795,6
283,0.53015715,medium,0.09797513,1.0872244,0.10739166,8
284,0.5159042,medium,0.08611286,1.0269016,0.12916148,8
285,0.52939475,medium,0.04712634,1.1098747,0.070628844,3
286,0.4924574,medium,0.112439565,1.0123348,0.13060194,6
287,0.54026306,high,0.13415338,1.1221106,0.084222585,5
288,0.47326154,low,0.10008196,1.3013585,0.0785973,4
289,0.5216951,medium,0.129844,1.0794797,0.09225138,6
290,0.37894475,low,0.15890217,0.9815959,0.44621903,1
291,0.47677135,low,0.11996734,0.9864945,0.098070174,0
292,0.6089599,high,0.11897027,1.05121,0.10826269,3
293,0.54543054,high,0.14550766,1.1288359,0.09293481,5
294,0.48107558,medium,0.065231085,1.227442,0.07930096,2
295,0.5554985,high,0.20443448,1.0010273,0.112301536,5
296,0.5079559,medium,0.13377966,1.2195427,0.055035032,0
297,0.47608584,low,0.13390937,1.0114127,0.14895928,4
298,0.5275789,medium,0.1445722,0.9808819,0.09553802,0
299,0.4160295,low,0.354049,0.98900455,0.38053063,1
300,0.45049763,low,0.18236102,1.0553259,0.12568273,4
301,0.53247005,high,0.12641312,1.1127179,0.109783635,8
302,0.45895398,low,0.08412828,1.0118219,0.1185593,4
303,0.4660042,low,0.12238219,1.0508821,0.14248864,8
304,0.4759174,low,0.09305835,1.0907314,0.067055084,0
305,0.54300284,high,0.1134152,1.0234863,0.08974415,8
306,0.5067769,medium,0.12700795,1.0170282,0.078292176,5
307,0.5379376,high,0.118881695,1.07138,0.12877296,7
308,0.4264639,low,0.08768656,1.252252,0.19776498,1
309,0.4623952,low,0.18280631,1.0342855,0.109784715,5
310,0.5064863,medium,0.28790942,1.1213155,0.09423395,7
311,0.5164902,medium,0.1269608,1.0371099,0.11450937,9
312,0.61357147,high,0.12648986,0.9959401,0.14312522,8
313,0.5054704,medium,0.26518828,0.9760247,0.13375294,5
314,0.5002494,medium,0.06586831,1.1546853,0.05005858,2
315,0.43338978,low,0.18651587,1.0406485,0.12590948,7
316,0.4314518,low,0.17650111,1.1652545,0.27158898,1
317,0.50539756,medium,0.17501196,1.0880402,0.10928745,9
318,0.45707947,low,0.2417142,0.964284,0.14518255,0
319,0.46660668,low,0.06616693,1.1183103,0.12129241,9
320,0.49641436,medium,0.060271427,1.3453076,0.08159589,4
321,0.47546798,low,0.15159586,1.0066952,0.107863456,6
322,0.46823812,low,0.1643555,1.0118728,0.13987939,5
323,0.54760647,high,0.11935552,1.0819705,0.08288677,6
324,0.48704195,medium,0.22742224,1.046819,0.368971,1
325,0.5255522,medium,0.07324122,1.1585271,0.10684759,5
326,0.38401717,low,0.18925613,1.0254686,0.39236432,1
327,0.5056141,medium,0.24796909,1.0064391,0.13165228,6
328,0.52440584,medium,0.15872258,1.0828744,0.10533845,6
329,0.5407847,high,0.18072528,1.0382087,0.09397566,6
330,0.47842127,medium,0.12804194,1.151608,0.05244627,2
331,0.49985015,medium,0.14725533,1.113029,0.09383133,0
332,0.51419663,medium,0.10441846,1.0623003,0.13159868,4
333,0.53666174,high,0.13534082,1.0921766,0.086297244,7
334,0.5146239,medium,0.10937079,1.1793612,0.07683602,7
335,0.5101721,medium,0.07953388,0.991906,0.14245537,8
336,0.5110949,medium,0.33515787,1.002409,0.15494558,7
337,0.5471238,high,0.12736057,0.9805716,0.14394669,6
338,0.46661115,low,0.05260088,1.0915565,0.10960352,4
339,0.46214378,low,0.12247983,1.138071,0.08112922,9
340,0.4374001,low,0.23936458,1.0306706,0.062799685,7
341,0.5261013,medium,0.1437928,0.9750009,0.14634486,5
342,0.52936816,medium,0.10162225,1.0640544,0.08878546,3
343,0.51186764,medium,0.09943575,1.006078,0.117054395,0
344,0.5287695,medium,0.14712024,0.9841642,0.1308911,5
345,0.44638228,low,0.17153008,1.0545866,0.123227045,6
346,0.33695376,low,0.12921757,0.9834687,0.41455346,1
347,0.5125644,medium,0.101721324,1.0206573,0.1336468,6
348,0.46235597,low,0.20783001,1.0959119,0.1007299,0
349,0.48095202,medium,0.06350718,1.0360707,0.10158626,3
350,0.460496,low,0.077831514,1.1543673,0.10339011,9
351,0.40658367,low,0.13199057,1.1067001,0.08583464,6
352,0.4262858,low,0.056866474,1.0189656,0.11782444,0
353,0.56856567,high,0.08926505,1.1784313,0.0843485,8
354,0.38948274,low,0.05501553,1.4359052,0.15163739,1
355,0.5359845,high,0.0937779,1.012612,0.13761407,8
356,0.45453757,low,0.27244183,1.0660039,0.064778395,3
357,0.4953779,medium,0.12284624,1.2503228,0.089406714,8
358,0.56098145,high,0.1594401,1.0143179,0.114501335,5
359,0.40759248,low,0.2445311,1.2213618,0.056355555,0
360,0.5257869,medium,0.09316762,1.0329605,0.12574655,8
361,0.49032813,medium,0.07086743,1.0647707,0.13782561,5
362,0.50934434,medium,0.11534569,1.033547,0.09766068,5
363,0.6215539,high,0.110315904,1.0842892,0.08930203,3
364,0.515576,medium,0.11842932,1.1128862,0.10681681,6
365,0.5465889,high,0.086206734,1.0842456,0.10999172,3
366,0.5574553,high,0.104766645,1.0239023,0.14079599,7
367,0.52283084,medium,0.14356743,0.9754876,0.13152246,5
368,0.4054886,low,0.18856913,0.99465674,0.4183822,1
369,0.49087614,medium,0.08857289,1.014686,0.14185908,4
370,0.57991207,high,0.083953544,1.1777301,0.08679216,8
371,0.54712045,high,0.28409186,1.0812281,0.08143937,3
372,0.4753309,low,0.07456569,1.2446042,0.0864009,8
373,0.55632055,high,0.110663496,1.1210004,0.08995617,9
374,0.58263683,high,0.085952275,1.0316652,0.098067395,5
375,0.4972543,medium,0.16436711,1.1139677,0.11820573,4
376,0.59213066,high,0.11086045,1.1010158,0.109409414,5
377,0.33544463,low,0.2966491,1.0595467,0.20932694,1
378,0.5369588,high,0.12361391,1.023203,0.10511186,5
379,0.5530837,high,0.11942376,0.99569046,0.12284346,0
380,0.592315,high,0.15882103,1.1546891,0.07096557,2
381,0.55993104,high,0.063106276,1.2517188,0.07671073,5
382,0.44891363,low,0.093743764,1.2282703,0.12391251,8
383,0.54572093,high,0.10138237,1.2182559,0.096684396,4
384,0.46988577,low,0.07320685,1.4481312,0.048507724,2
385,0.46462137,low,0.121743955,1.0619426,0.102386385,0
386,0.5316918,high,0.08104956,1.0923963,0.1081531,3
387,0.44034886,low,0.2264011,1.1452388,0.23402387,1
388,0.52484554,medium,0.14814854,1.1003562,0.11090037,6
389,0.5264999,medium,0.12407915,1.182129,0.09494454,8
390,0.4185936,low,0.12922046,1.0170075,0.08346045,0
391,0.5992359,high,0.08476035,1.0628932,0.075251795,8
392,0.44146502,low,0.20259584,1.0632635,0.088204205,6
393,0.5930306,high,0.082187235,1.097943,0.09803821,4
394,0.5567969,high,0.094217755,1.0620847,0.11572143,3
395,0.54027236,high,0.2512478,1.0265001,0.14415576,9
396,0.6000052,high,0.09441847,1.0885307,0.07807093,3
397,0.56653863,high,0.075895555,1.0706373,0.099478416,5
398,0.48278797,medium,0.08789117,1.4061849,0.05090665,0
399,0.5740017,high,0.13192299,1.1409972,0.083132625,3
400,0.32294607,low,0.1504277,0.98168665,0.43970773,1
401,0.49419165,medium,0.12916683,1.0082467,0.16087124,4
402,0.5233315,medium,0.13099149,1.0083078,0.12118929,7
403,0.48494,medium,0.17477931,1.0076102,0.14951302,9
404,0.48676276,medium,0.09225667,1.0668352,0.099334605,8
405,0.42149585,low,0.24836752,1.0690178,0.25103146,1
406,0.5835068,high,0.05845198,1.2221311,0.062013634,8
407,0.55298907,high,0.15556462,1.2042549,0.092378125,4
408,0.49297935,medium,0.19759716,1.1577795,0.09001499,6
409,0.26469803,low,0.17259431,0.9980704,0.3677477,1
410,0.5195656,medium,0.14996628,1.0203463,0.14636058,4
411,0.44910634,low,0.086881645,1.0381447,0.083629,2
412,0.48152465,medium,0.106665306,1.1981332,0.08742732,7
413,0.51896346,medium,0.15504993,1.1130384,0.107898176,4
414,0.48000938,medium,0.103063464,1.281194,0.08006528,9
415,0.40880114,low,0.09658562,1.3302149,0.08236602,8
416,0.45890582,low,0.13649312,1.254407,0.07390927,3
417,0.5455111,high,0.1629674,1.0207702,0.07869649,2
418,0.4509648,low,0.1481752,1.0664783,0.13614523,7
419,0.4719634,low,0.017026884,2.1085951,0.048761528,7
420,0.508618,medium,0.124859005,0.9956432,0.14176634,7
421,0.563839,high,0.08287095,1.0759398,0.078390785,5
422,0.47895694,medium,0.119655006,0.99932253,0.09780831,0
423,0.39981878,low,0.16164516,1.0398256,0.31587368,1
424,0.5298388,medium,0.107162245,0.99594826,0.13126037,6
425,0.49783194,medium,0.07616855,1.4908124,0.06707623,4
426,0.44770175,low,0.11945225,1.0635122,0.11016557,9
427,0.4492854,low,0.072338946,1.1199063,0.10964395,8
428,0.45357692,low,0.026495105,2.2558987,0.051684033,7
429,0.2125572,low,0.26933303,1.5673928,0.04081307,2
430,0.54249334,high,0.13284561,1.1469475,0.08215782,8
431,0.3170436,low,0.31944218,1.1255851,0.23230807,1
432,0.3666811,low,0.24003753,1.2426643,0.051710546,6
433,0.46745288,low,0.06575033,1.2762712,0.061693493,7
434,0.5480995,high,0.16735128,1.100568,0.10449778,9
435,0.4659841,low,0.05904281,1.2201936,0.06751971,8
436,0.5170182,medium,0.09321088,1.0881844,0.113496676,3
437,0.5174843,medium,0.29422784,0.97651345,0.17916918,7
438,0.58996,high,0.15012091,1.1592954,0.06724666,3
439,0.48740238,medium,0.13826773,1.0486583,0.13051273,3
440,0.46876758,low,0.20191522,1.0922662,0.06810847,0
441,0.5199567,medium,0.08270328,1.0673308,0.09413454,5
442,0.48384792,medium,0.22787546,1.1520306,0.06646561,6
443,0.59427285,high,0.18509778,1.0159397,0.13042273,8
444,0.57320124,high,0.20262861,1.1573045,0.100592114,7
445,0.43485796,low,0.15059412,1.3712507,0.1891814,1
446,0.49112034,medium,0.10361487,1.1566393,0.088117905,0
447,0.488402,medium,0.08284226,1.2602781,0.0583123,2
448,0.50307804,medium,0.15033624,1.1017222,0.08671409,3
449,0.52725035,medium,0.13921052,1.0323151,0.12404721,8
450,0.46042156,low,0.17985909,1.0610452,0.07695807,5
451,0.35160184,low,0.26359075,1.2419461,0.053865,6
452,0.50730926,medium,0.0883551,1.2986691,0.052510727,3
453,0.57384825,high,0.10599931,1.40449,0.048107702,2
454,0.4101498,low,0.23677087,0.9905795,0.47610527,1
455,0.38709563,low,0.118631385,1.1323867,0.09383377,0
456,0.49384916,medium,0.16775702,0.9882788,0.15452375,4
457,0.51340336,medium,0.18634132,1.1395377,0.09597531,5
458,0.48042238,medium,0.22861017,1.0150816,0.13128401,0
459,0.5450611,high,0.09926747,1.0674367,0.085925385,0
460,0.48497826,medium,0.08865713,1.0528177,0.13390969,4
461,0.51496315,medium,0.12651706,1.003053,0.1044851,0
